# n	actual error on plain	actual error on quasi	estimated error on plain	estimated error on quasi
100	6.590333614	0.908424024605	7.33181559688	2.55233442125
200	1.57988661591	0.0379965203307	5.57621719847	0.979680427062
300	2.86982118914	0.650674416548	4.81928926206	0.318725517705
400	5.94426260241	0.26863207625	3.96873779512	0.115272403272
500	2.95973357319	0.526837811677	3.47377841961	0.240782215956
600	2.7491076201	0.489044457377	3.18979156375	0.31602514743
700	2.56459602401	0.298146374779	2.99147956029	0.315453926769
800	0.960187397502	0.00282819933122	2.75788853247	0.317052049768
900	2.41718852513	0.00114961644012	2.57807771583	0.503181957415
1000	4.080145375	0.0622937772803	2.51169257001	0.546053643445
1100	3.19581088103	0.0203143969619	2.30065214953	0.252512803065
1200	2.24585594177	0.157097447418	2.26483830204	0.0155054439586
1300	1.77849660291	0.249500663275	2.20169645798	0.0483143657851
1400	0.232262165835	0.0912934443659	2.09044648458	0.0289007557527
1500	1.15700562078	0.135333493336	1.98265269018	0.0312575916962
1600	2.96650936053	0.0634150332322	1.9900794291	0.00171895229379
1700	1.57830446036	0.0389921559164	1.9194935144	0.171959196918
1800	3.27828394624	0.0472108956548	1.84082549852	0.225545346737
1900	0.751009383598	0.0617043643078	1.75377936581	0.235954926975
2000	1.19463477431	0.00594491828795	1.75710937516	0.173570031869



# n	actual error on plain	actual error on quasi	estimated error on plain	estimated error on quasi
100	0.224004047875	0.471275487533	0.825384994927	0.0693255429669
200	0.181728366585	0.226501698083	0.697225289638	0.15256087544
300	0.0629336618022	0.207183514716	0.556420049561	0.0371570560737
400	0.47801155701	0.0850142892721	0.465548754289	0.133045492786
500	1.02869436805	0.0742669380482	0.425558063516	0.0311207573741
600	0.44505228761	0.0536224036974	0.394966219286	0.0686827840547
700	0.472031610766	0.0644098091944	0.364632161283	0.0548343937414
800	0.14672537662	0.0418301237096	0.335993701968	0.090409478964
900	0.268253484736	0.0405828027765	0.323106507721	0.0762836902098
1000	0.126054675878	0.0170766221124	0.303805282647	0.0913209970647
1100	0.327792848834	0.0312634010506	0.272143356774	0.07659193791
1200	0.387240533621	0.0245734541221	0.280190460114	0.0729497825347
1300	0.0993341210642	0.0313603022998	0.263594050472	0.0563293994928
1400	0.23123511414	0.0235845599103	0.252891635042	0.0578893156129
1500	0.0177612310934	0.0211494687516	0.24172951505	0.0480589750055
1600	0.143085803787	0.0156911770105	0.234477825558	0.0688906164808
1700	0.0847424497778	0.015416269593	0.231516158838	0.067660021266
1800	0.400839232205	0.0088701887045	0.223002338461	0.0657604951943
1900	0.194571838904	0.016295677634	0.219411102605	0.0448261945153
2000	0.307356610504	0.00890897780776	0.20931861787	0.0452236462363
